state,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,pct_chg
Illinois,13,13,11,11,11,11,11,9,8,8,5,3,3,3,3,-76.92307692307693
Indiana,16,15,17,17,16,16,16,12,12,12,12,12,12,11,11,-31.25
Kansas,15,15,15,15,15,15,14,14,9,9,9,9,9,9,9,-40.0
Montana,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,-33.33333333333333
Nebraska,26,27,11,8,7,7,7,7,6,6,6,5,5,5,5,-80.76923076923077
New Mexico,5,7,4,3,1,1,1,1,1,1,1,1,1,1,1,-80.0
New York,19,19,19,18,19,19,18,18,18,18,18,16,14,12,11,-42.10526315789473
Oklahoma,7,7,7,7,7,7,7,7,7,7,4,4,4,4,4,-42.857142857142854
Pennsylvania,128,118,100,96,92,90,84,82,81,83,84,86,81,72,71,-44.53125
South Carolina,15,17,18,18,18,15,13,12,12,11,10,8,8,8,8,-46.666666666666664
West Virginia,5,5,5,5,5,5,6,5,5,5,4,4,3,3,3,-40.0
Wyoming,4,4,3,3,3,2,2,2,3,3,2,2,2,2,2,-50.0
National,398,399,365,355,354,350,339,335,334,345,336,338,330,314,307,-22.8643216080402
